event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-026,66.0 Ma,,-66000000,66,,Deep time: 100–2.6 Ma,7.819557,Cretaceous–Paleogene extinction removes rudist reefs,Rudist bivalves disappear and photosymbiotic shallow corals suffer disproportionate losses.,Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Cretaceous reefs,Ends the last major non-coral reef-building regime.,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,The Cretaceous to Paleogene extinction removes rudist reefs,Rudist bivalves disappeared. Shallow corals that host tiny algae inside them suffered unusually heavy losses.,It ended the last major time when reefs were built mainly by animals other than corals.,"[{""t"": ""What killed the dinosaurs? | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/dinosaur-extinction.html"", ""p"": ""Natural History Museum, London"", ""s"": ""The asteroid extinction 66 million years ago""}]"
CR-027,63–61 Ma,approximate,-63000000,63,,Deep time: 100–2.6 Ma,7.799355,Reef frameworks reappear after K–Pg,"Coralline algae, foraminifera and surviving corals rebuild patchy reef systems within a few million years.",Reef recovery,Geological evidence,Global deep time,Tethyan and tropical shelves,Paleocene reefs,Rapid but compositionally novel recovery.,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Reef frameworks reappear after the Cretaceous Paleogene extinction,"Coralline algae, small shelled creatures called foraminifera and the corals that survived rebuilt patchy reef systems. This took a few million years.","The recovery was fast, but the reefs were made up of a new mix of life.",
CR-028,56–40 Ma,to c. 40 Ma,-56000000,56,,Deep time: 100–2.6 Ma,7.748204,Eocene greenhouse reefs diversify,Modern coral families and large benthic foraminifera expand during warm Eocene climates.,Evolutionary milestone,Geological evidence,Global deep time,"Tethys, Caribbean, Indo-Pacific",Eocene reefs,Builds much of the modern coral evolutionary stock.,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,"Quattrini et al. (2020), Palaeoclimate and ocean conditions shaped coral evolution",https://doi.org/10.1038/s41559-020-01291-1,Primary phylogenetic analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Eocene greenhouse reefs become more varied,Modern coral families spread during the warm climates of the Eocene. Large foraminifera living on the sea floor spread as well.,It built much of the coral family stock we still have today.,
CR-029,34 Ma,,-34000000,34,,Deep time: 100–2.6 Ma,7.531505,Eocene–Oligocene cooling triggers coral turnover,Rapid global cooling and ice-sheet growth coincide with a marked extinction pulse in reef corals.,Extinction / reef crisis,Geological evidence,Global deep time,Global tropics,Cenozoic coral reefs,Shows that cooling as well as warming can restructure reefs.,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,"Quattrini et al. (2020), Palaeoclimate and ocean conditions shaped coral evolution",https://doi.org/10.1038/s41559-020-01291-1,Primary phylogenetic analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,Cooling after the Eocene brings a coral turnover,"The world cooled quickly and ice sheets grew. At the same time, reef corals went through a clear pulse of extinction.","It shows that cooling, as well as warming, can reshape reefs.",
CR-030,23–16 Ma,early Miocene,-23000000,23,,Deep time: 100–2.6 Ma,7.361766,Miocene reef-coral radiation,Coral diversity and reef building expand across the Tethys and Indo-West Pacific.,Evolutionary milestone,Geological evidence,Global deep time,Tethys and Indo-West Pacific,Miocene coral reefs,Creates many lineages central to modern reefs.,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Reef corals spread and diversify in the Miocene,Coral diversity grew and reef building expanded. This spread across the Tethys and the Indo-West Pacific.,It created many coral lines that are central to reefs today.,
CR-031,15–5 Ma,middle–late Miocene,-15000000,15,,Deep time: 100–2.6 Ma,7.17615,Coral diversity shifts toward the Indo-Pacific,Tethyan closure and tectonic reorganization concentrate coral diversity in the developing Coral Triangle.,Biogeographic shift,Geological evidence,Coral Triangle / Indo-Pacific,Southeast Asia and western Pacific,Indo-Pacific reefs,Explains the modern centre of coral biodiversity.,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Coral variety shifts towards the Indo-Pacific,The old Tethys seaway closed and the Earth's plates shifted position. This gathered the greatest variety of corals into the growing Coral Triangle.,It explains where the centre of coral variety sits today.,
CR-032,5.3–2.6 Ma,Pliocene,-5300000,5.3,,Deep time: 100–2.6 Ma,6.724442,Isthmus of Panama separates Atlantic and Pacific reefs,"Final closure reorganizes currents, nutrients and evolutionary trajectories on both sides of the Americas.",Biogeographic shift,Geological evidence,Caribbean / Eastern Pacific,Central America,Caribbean and eastern Pacific reefs,Creates two contrasting modern reef provinces.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,The Isthmus of Panama splits Atlantic and Pacific reefs,"The narrow strip of land at Panama finally closed the gap between the two oceans. This changed currents, nutrients and the way life evolved on both sides of the Americas.",It created two modern reef regions that are very different from each other.,"[{""t"": ""Why Panama?"", ""u"": ""https://stri.si.edu/why-panama"", ""p"": ""Smithsonian Tropical Research Institute"", ""s"": ""When Panama split the Atlantic from the Pacific""}]"
CR-033,c. 3.0 Ma,,-3000000,3,,Deep time: 100–2.6 Ma,6.477415,Acroporid diversification accelerates,Fast-growing staghorn corals undergo a Pleistocene diversification pulse linked to increased turnover in other coral groups.,Evolutionary milestone,Geological evidence,Global deep time,Indo-Pacific,Acropora-dominated reefs,Helps explain the ecological prominence—and vulnerability—of modern Acropora.,"Siqueira et al. (2022), Fast-growing species shape reef-coral evolution",https://doi.org/10.1038/s41467-022-30234-6,Primary fossil-data analysis,"Potts (1984), Generation times and geometric constraints in coral lineages",https://doi.org/10.1017/S0094837300008010,Primary evolutionary analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Fast-growing staghorn corals split into many new species,"During the Pleistocene, fast-growing staghorn corals produced many new species in a burst. Scientists link this burst to more species being replaced in other coral groups.",It helps explain why modern Acropora corals are so important on reefs and also so easily harmed.,
CR-034,2.6 Ma–present,Pleistocene–Holocene,-2600000,2.6,,Deep time: 100–2.6 Ma,6.415312,Glacial sea-level cycles repeatedly dismantle and rebuild reefs,"Pleistocene sea-level oscillations expose shelves, drown reefs and repeatedly shift coral ranges.",Geological formation,Geological evidence,Global deep time,Global tropical shelves,Pleistocene reefs,The immediate geological template for modern reef distribution.,"Montaggioni (2005), History of Indo-Pacific coral-reef systems since the last glaciation",https://doi.org/10.1016/j.earscirev.2005.01.002,Synthesis of primary records,"Webster et al. (2018), Response of the Great Barrier Reef to sea-level and environmental change",https://doi.org/10.1038/s41561-018-0127-3,Primary drilling/geological research,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,"Ice age sea levels rise and fall, wrecking and rebuilding reefs","Through the Pleistocene, sea level rose and fell again and again. This left shallow sea floors dry, drowned reefs, and kept moving the places where corals could live.",It set the recent geological pattern for where reefs are found today.,"[{""t"": ""Corals Tutorial: How Do Coral Reefs Form?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral04_reefs.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""How reefs form, grow and keep up with sea level""}, {""t"": ""Coral reef - Marine Ecosystem, Formation, Diversity | Britannica"", ""u"": ""https://www.britannica.com/science/coral-reef/Origin-and-development-of-reefs"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""How reefs form, grow and keep up with sea level""}]"
CR-035,c. 125 ka,,-125000,0.125,,Quaternary: 2.6 Ma–10 ka,5.103896,Last-interglacial reefs record higher sea level,Fossil reef terraces become key benchmarks for reconstructing sea level and ice-sheet sensitivity.,Scientific archive,Geological evidence,Global deep time,"Bahamas, Red Sea, Indo-Pacific and Caribbean",Last-interglacial reefs,Reefs become geological sea-level gauges.,"Abbey et al. (2011), Last interglacial reef development and sea level",https://doi.org/10.1016/j.margeo.2011.08.006,Primary geological research,"Montaggioni (2005), History of Indo-Pacific coral-reef systems since the last glaciation",https://doi.org/10.1016/j.earscirev.2005.01.002,Synthesis of primary records,High,Core,,"Experiment, method & monitoring",Knowledge,Geological & fossil evidence,,,,,,,,,,Reefs from the last warm period record a higher sea level,Old reef terraces preserved as fossils became important markers. Scientists use them to work out past sea levels and how easily ice sheets respond to change.,Reefs became gauges in the rock that measure past sea level.,
CR-036,30–19 ka,to c. 19 ka,-30000,0.03,,Quaternary: 2.6 Ma–10 ka,4.505516,Last Glacial Maximum exposes most modern shelves,"Sea level falls by roughly 120 m, leaving many present reef platforms dry and shifting corals toward shelf edges.",Geological formation,Geological evidence,Global deep time,Global tropical shelves,Glacial-age reefs,Resets the starting surface for Holocene reef growth.,"Montaggioni (2005), History of Indo-Pacific coral-reef systems since the last glaciation",https://doi.org/10.1016/j.earscirev.2005.01.002,Synthesis of primary records,"Webster et al. (2018), Response of the Great Barrier Reef to sea-level and environmental change",https://doi.org/10.1038/s41561-018-0127-3,Primary drilling/geological research,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Falling sea level leaves most modern shelves dry,"At the coldest point of the last ice age, sea level fell by roughly 120 metres. Many of today's reef platforms were left dry, and corals shifted out towards the shelf edges.",It reset the surface that the reef growth which followed would start from.,"[{""t"": ""Corals Tutorial: How Do Coral Reefs Form?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral04_reefs.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""How reefs form, grow and keep up with sea level""}, {""t"": ""Coral reef - Marine Ecosystem, Formation, Diversity | Britannica"", ""u"": ""https://www.britannica.com/science/coral-reef/Origin-and-development-of-reefs"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""How reefs form, grow and keep up with sea level""}]"
CR-037,14–8 ka,to c. 8 ka,-14000,0.014,,Quaternary: 2.6 Ma–10 ka,4.204852,Postglacial sea-level rise drives reef drowning and “catch-up” growth,"Some reefs keep pace with rapid rise while others backstep or drown, producing modern shelf patterns.",Geological formation,Geological evidence,Global deep time,"Indo-Pacific, Caribbean, Red Sea",Holocene reefs,Defines the modern architecture of many reef systems.,"Montaggioni (2005), History of Indo-Pacific coral-reef systems since the last glaciation",https://doi.org/10.1016/j.earscirev.2005.01.002,Synthesis of primary records,"Webster et al. (2018), Response of the Great Barrier Reef to sea-level and environmental change",https://doi.org/10.1038/s41561-018-0127-3,Primary drilling/geological research,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Rising seas drown some reefs while others grow to catch up,"After the ice age, sea level rose quickly. Some reefs grew fast enough to keep up, while others stepped back or drowned. That mix produced the reef patterns seen on shelves today.",It shaped the layout of many reef systems we see today.,"[{""t"": ""Corals Tutorial: How Do Coral Reefs Form?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral04_reefs.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""How reefs form, grow and keep up with sea level""}, {""t"": ""Coral reef - Marine Ecosystem, Formation, Diversity | Britannica"", ""u"": ""https://www.britannica.com/science/coral-reef/Origin-and-development-of-reefs"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""How reefs form, grow and keep up with sea level""}]"
